FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
27063.0,Jackson,Minnesota,US,2021-01-02 05:22:33,43.67423373,-95.15398258,791,8,0,783,"Jackson, Minnesota, US",8033.7192768637005,1.011378002528445
27081.0,Lincoln,Minnesota,US,2021-01-02 05:22:33,44.41311883,-96.26688165,454,1,0,453,"Lincoln, Minnesota, US",8051.072885263345,0.2202643171806167
28059.0,Jackson,Mississippi,US,2021-01-02 05:22:33,30.54020656,-88.64184064,8820,159,0,8661,"Jackson, Mississippi, US",6141.334243160629,1.8027210884353744
28085.0,Lincoln,Mississippi,US,2021-01-02 05:22:33,31.53288662,-90.45391915,2592,79,0,2513,"Lincoln, Mississippi, US",7589.377214300354,3.0478395061728394
28089.0,Madison,Mississippi,US,2021-01-02 05:22:33,32.63389156,-90.03513564,7294,136,0,7158,"Madison, Mississippi, US",6863.52002408913,1.8645462023581023
28097.0,Montgomery,Mississippi,US,2021-01-02 05:22:33,33.49419589,-89.61729103,994,31,0,963,"Montgomery, Mississippi, US",10168.797953964196,3.118712273641851
29095.0,Jackson,Missouri,US,2021-01-02 05:22:33,39.01002188,-94.34724536,23679,245,0,23434,"Jackson, Missouri, US",3368.226101725293,1.0346720723003506
29113.0,Lincoln,Missouri,US,2021-01-02 05:22:33,39.05345619,-90.95588181,3561,19,0,3542,"Lincoln, Missouri, US",6034.2636368257845,0.5335579893288402
29123.0,Madison,Missouri,US,2021-01-02 05:22:33,37.47865134,-90.3467143,1215,10,0,1205,"Madison, Missouri, US",10051.29053606883,0.823045267489712
29139.0,Montgomery,Missouri,US,2021-01-02 05:22:33,38.94022054,-91.47000721,504,9,0,495,"Montgomery, Missouri, US",4363.258592329668,1.7857142857142858
30053.0,Lincoln,Montana,US,2021-01-02 05:22:33,48.54265777,-115.4046155,1089,9,0,1080,"Lincoln, Montana, US",5450.45045045045,0.8264462809917356
30057.0,Madison,Montana,US,2021-01-02 05:22:33,45.30080065,-111.9173017,509,3,0,506,"Madison, Montana, US",5918.604651162791,0.5893909626719057
